id,reason
A063854,structure_missing
A063988,structure_missing
A064352,structure_missing
A064685,structure_missing
A064815,structure_missing
A065254,structure_missing
A065255,structure_missing
A065702,structure_missing
A066275,structure_missing
A066402,structure_missing
A066645,structure_missing
A066778,structure_missing
A066906,structure_missing
A067080,structure_missing
A067081,structure_missing
A067329,structure_missing
A067330,structure_missing
A067488,structure_missing
A067610,structure_missing
A067903,structure_missing
A068083,structure_missing
A068203,structure_missing
A068638,structure_missing
A069446,structure_missing
A069562,structure_missing
A070014,structure_missing
A070015,structure_missing
A070690,structure_missing
A070736,structure_missing
A070813,structure_missing
A070927,structure_missing
A071040,structure_missing
A071288,structure_missing
A071448,structure_missing
A071759,structure_missing
A071879,structure_missing
A072206,structure_missing
A072398,structure_missing
A072521,structure_missing
A072636,structure_missing
A072869,structure_missing
A072995,structure_missing
A073109,structure_missing
A073511,structure_missing
A073624,structure_missing
A073717,structure_missing
A074285,structure_missing
A074579,structure_missing
A074692,structure_missing
A074919,structure_missing
A075036,structure_missing
A075155,structure_missing
A075240,structure_missing
A075352,structure_missing
A075588,structure_missing
A075940,structure_missing
A076051,structure_missing
A076276,structure_missing
A076696,structure_missing
A076876,structure_missing
A077296,structure_missing
A077404,structure_missing
A077631,structure_missing
A077791,structure_missing
A077792,structure_missing
A078013,structure_missing
A078014,structure_missing
A078497,structure_missing
A078498,structure_missing
A079260,structure_missing
A079261,structure_missing
A079627,structure_missing
A079729,structure_missing
A080026,structure_missing
A080126,structure_missing
A080620,structure_missing
A081119,structure_missing
A081233,structure_missing
A081328,structure_missing
A081541,structure_missing
A082099,structure_missing
A083507,structure_missing
A083808,structure_missing
A083809,structure_missing
A083810,structure_missing
A083811,structure_missing
A083812,structure_missing
A083813,structure_missing
A083814,structure_missing
A083815,structure_missing
A083816,structure_missing
A083817,structure_missing
A083818,structure_missing
A083819,structure_missing
A083820,structure_missing
A083821,structure_missing
A083822,structure_missing
A083823,structure_missing
A083824,structure_missing
A083825,structure_missing
A083826,structure_missing
A083827,structure_missing
A083828,structure_missing
A083829,structure_missing
A083830,structure_missing
A083831,structure_missing
A083832,structure_missing
A083833,structure_missing
A083834,structure_missing
A083835,structure_missing
A083836,structure_missing
A083837,structure_missing
A083838,structure_missing
A083839,structure_missing
A083840,structure_missing
A083841,structure_missing
A083842,structure_missing
A083843,structure_missing
A083844,structure_missing
A083845,structure_missing
A083846,structure_missing
A083847,structure_missing
A083848,structure_missing
A083849,structure_missing
A083850,structure_missing
A083851,structure_missing
A083852,structure_missing
A083853,structure_missing
A083854,structure_missing
A084554,structure_missing
A084842,structure_missing
A084880,structure_missing
A085229,structure_missing
A085325,structure_missing
A085397,structure_missing
A085435,structure_missing
A085494,structure_missing
A085580,structure_missing
A085652,structure_missing
A085690,structure_missing
A085749,structure_missing
A085834,structure_missing
A086042,structure_missing
A086368,structure_missing
A086406,structure_missing
A086583,structure_missing
A086905,structure_missing
A086943,structure_missing
A087120,structure_missing
A087224,structure_missing
A087309,structure_missing
A087511,structure_missing
A087952,structure_missing
A088288,structure_missing
A088801,structure_missing
A088838,structure_missing
A089216,structure_missing
A089301,structure_missing
A089386,structure_missing
A089388,structure_missing
A089391,structure_missing
A089393,structure_missing
A089416,structure_missing
A089419,structure_missing
A089435,structure_missing
A089436,structure_missing
A089441,structure_missing
A089454,structure_missing
A089736,structure_missing
A089737,structure_missing
A089894,structure_missing
A089895,structure_missing
A090213,structure_missing
A090455,structure_missing
A090533,structure_missing
A091520,structure_missing
A092450,structure_missing
A092483,structure_missing
A093093,structure_missing
A093168,structure_missing
A093214,structure_missing
A093215,structure_missing
A093217,structure_missing
A093219,structure_missing
A093220,structure_missing
A093221,structure_missing
A093222,structure_missing
A093223,structure_missing
A093224,structure_missing
A093225,structure_missing
A093226,structure_missing
A093228,structure_missing
A093229,structure_missing
A093230,structure_missing
A093231,structure_missing
A093233,structure_missing
A093234,structure_missing
A093235,structure_missing
A093236,structure_missing
A093237,structure_missing
A093239,structure_missing
A093240,structure_missing
A093241,structure_missing
A093242,structure_missing
A093244,structure_missing
A093245,structure_missing
A093246,structure_missing
A093247,structure_missing
A093248,structure_missing
A093249,structure_missing
A093250,structure_missing
A093251,structure_missing
A093253,structure_missing
A093254,structure_missing
A093255,structure_missing
A093256,structure_missing
A093257,structure_missing
A093258,structure_missing
A093259,structure_missing
A093260,structure_missing
A093261,structure_missing
A093263,structure_missing
A093264,structure_missing
A093265,structure_missing
A093266,structure_missing
A093267,structure_missing
A093268,structure_missing
A093269,structure_missing
A093270,structure_missing
A093271,structure_missing
A093272,structure_missing
A093273,structure_missing
A093274,structure_missing
A093276,structure_missing
A093277,structure_missing
A093281,structure_missing
A093282,structure_missing
A093283,structure_missing
A093284,structure_missing
A093285,structure_missing
A093286,structure_missing
A093287,structure_missing
A093288,structure_missing
A093289,structure_missing
A093290,structure_missing
A093291,structure_missing
A093292,structure_missing
A093293,structure_missing
A093294,structure_missing
A093295,structure_missing
A093296,structure_missing
A093297,structure_missing
A093298,structure_missing
A093299,structure_missing
A093300,structure_missing
A093301,structure_missing
A093302,structure_missing
A093304,structure_missing
A093305,structure_missing
A093306,structure_missing
A093307,structure_missing
A093308,structure_missing
A093309,structure_missing
A093310,structure_missing
A093311,structure_missing
A093312,structure_missing
A093313,structure_missing
A093314,structure_missing
A093315,structure_missing
A093316,structure_missing
A093317,structure_missing
A093318,structure_missing
A093319,structure_missing
A093320,structure_missing
A093321,structure_missing
A093322,structure_missing
A093323,structure_missing
A093324,structure_missing
A093325,structure_missing
A093326,structure_missing
A093328,structure_missing
A093329,structure_missing
A093330,structure_missing
A093331,structure_missing
A093333,structure_missing
A093334,structure_missing
A093335,structure_missing
A093336,structure_missing
A093337,structure_missing
A093338,structure_missing
A093339,structure_missing
A093340,structure_missing
A093341,structure_missing
A093342,structure_missing
A093343,structure_missing
A093344,structure_missing
A093345,structure_missing
A093346,structure_missing
A093347,structure_missing
A093348,structure_missing
A093349,structure_missing
A093350,structure_missing
A093351,structure_missing
A093352,structure_missing
A093353,structure_missing
A093354,structure_missing
A093355,structure_missing
A093356,structure_missing
A093357,structure_missing
A093358,structure_missing
A093359,structure_missing
A093360,structure_missing
A093361,structure_missing
A093362,structure_missing
A093363,structure_missing
A093364,structure_missing
A093365,structure_missing
A093366,structure_missing
A093367,structure_missing
A093368,structure_missing
A093369,structure_missing
A093370,structure_missing
A093371,structure_missing
A093372,structure_missing
A093373,structure_missing
A093374,structure_missing
A093375,structure_missing
A093377,structure_missing
A093378,structure_missing
A093380,structure_missing
A093381,structure_missing
A093382,structure_missing
A093383,structure_missing
A093384,structure_missing
A093385,structure_missing
A093386,structure_missing
A093387,structure_missing
A093388,structure_missing
A093389,structure_missing
A093390,structure_missing
A093391,structure_missing
A093392,structure_missing
A093393,structure_missing
A093394,structure_missing
A093395,structure_missing
A093397,structure_missing
A093398,structure_missing
A093399,structure_missing
A093400,structure_missing
A093401,structure_missing
A093402,structure_missing
A093403,structure_missing
A093404,structure_missing
A093405,structure_missing
A093406,structure_missing
A093407,structure_missing
A093408,structure_missing
A093409,structure_missing
A093410,structure_missing
A093411,structure_missing
A093412,structure_missing
A093413,structure_missing
A093414,structure_missing
A093415,structure_missing
A093416,structure_missing
A093417,structure_missing
A093419,structure_missing
A093420,structure_missing
A093421,structure_missing
A093422,structure_missing
A093423,structure_missing
A093424,structure_missing
A093425,structure_missing
A093426,structure_missing
A093427,structure_missing
A093428,structure_missing
A093769,structure_missing
A094404,structure_missing
A094517,structure_missing
A094706,structure_missing
A094866,structure_missing
A095363,structure_missing
A095423,structure_missing
A095528,structure_missing
A095671,structure_missing
A095763,structure_missing
A095895,structure_missing
A096094,structure_missing
A098277,structure_missing
A098537,structure_missing
A099184,structure_missing
A099338,structure_missing
A099899,structure_missing
A099954,structure_missing
A100009,structure_missing
A100282,structure_missing
A100362,structure_missing
A100463,structure_missing
A100644,structure_missing
A100798,structure_missing
A100961,structure_missing
A100962,structure_missing
A101501,structure_missing
A101502,structure_missing
A101641,structure_missing
A101765,structure_missing
A101854,structure_missing
A101942,structure_missing
A102181,structure_missing
A102278,structure_missing
A102566,structure_missing
A102687,structure_missing
A102818,structure_missing
A103055,structure_missing
A103335,structure_missing
A103336,structure_missing
A103469,structure_missing
A103713,structure_missing
A103714,structure_missing
A103715,structure_missing
A103897,structure_missing
A103980,structure_missing
A104098,structure_missing
A104356,structure_missing
A104485,structure_missing
A104635,structure_missing
A104776,structure_missing
A104897,structure_missing
A105164,structure_missing
A105165,structure_missing
A105166,structure_missing
A105336,structure_missing
A105495,structure_missing
A105557,structure_missing
A105572,structure_missing
A105662,structure_missing
A105836,structure_missing
A106379,structure_missing
A106563,structure_missing
A106702,structure_missing
A106778,structure_missing
A107301,structure_missing
A109011,structure_missing
A110420,structure_missing
A110450,structure_missing
A110451,structure_missing
A110453,structure_missing
A110456,structure_missing
A110462,structure_missing
A110475,structure_missing
A110500,structure_missing
A110503,structure_missing
A110520,structure_missing
A110870,structure_missing
A111057,structure_missing
A111197,structure_missing
A111241,structure_missing
A111427,structure_missing
A111465,structure_missing
A111711,structure_missing
A111778,structure_missing
A111840,structure_missing
A111931,structure_missing
A112289,structure_missing
A112376,structure_missing
A112817,structure_missing
A113004,structure_missing
A113069,structure_missing
A113251,structure_missing
A113391,structure_missing
A113480,structure_missing
A113572,structure_missing
A113607,structure_missing
A113642,structure_missing
A113714,structure_missing
A113737,structure_missing
A113763,structure_missing
A113804,structure_missing
A113829,structure_missing
A113858,structure_missing
A127924,structure_missing
A128722,structure_missing
A128723,structure_missing
A129404,structure_missing
A130722,structure_missing
A130794,structure_missing
A131192,structure_missing
A131509,structure_missing
A131847,structure_missing
A131931,structure_missing
A132084,structure_missing
A132947,structure_missing
A132990,structure_missing
A133034,structure_missing
A133290,structure_missing
A133305,structure_missing
A137902,structure_missing
A137903,structure_missing
A138031,structure_missing
A138032,structure_missing
A138053,structure_missing
A138131,structure_missing
A138132,structure_missing
A138315,structure_missing
A138325,structure_missing
A138327,structure_missing
A138403,structure_missing
A138585,structure_missing
A138648,structure_missing
A138649,structure_missing
A138667,structure_missing
A138668,structure_missing
A138680,structure_missing
A138714,structure_missing
A138734,structure_missing
A138787,structure_missing
A138803,structure_missing
A138893,structure_missing
A139036,structure_missing
A139037,structure_missing
A139048,structure_missing
A139049,structure_missing
A139059,structure_missing
A139106,structure_missing
A139152,structure_missing
A139254,structure_missing
A139341,structure_missing
A139354,structure_missing
A139384,structure_missing
A139496,structure_missing
A139522,structure_missing
A139538,structure_missing
A139546,structure_missing
A139547,structure_missing
A139567,structure_missing
A139583,structure_missing
A139611,structure_missing
A139613,structure_missing
A139636,structure_missing
A139640,structure_missing
A139651,structure_missing
A139652,structure_missing
A139668,structure_missing
A139741,structure_missing
A139811,structure_missing
A139849,structure_missing
A139850,structure_missing
A140096,structure_missing
A140101,structure_missing
A140114,structure_missing
A140115,structure_missing
A140116,structure_missing
A140119,structure_missing
A140120,structure_missing
A140126,structure_missing
A140133,structure_missing
A140143,structure_missing
A140269,structure_missing
A140270,structure_missing
A140292,structure_missing
A140304,structure_missing
A140348,structure_missing
A140349,structure_missing
A140386,structure_missing
A140473,structure_missing
A140494,structure_missing
A140524,structure_missing
A140525,structure_missing
A140533,structure_missing
A140535,structure_missing
A140592,structure_missing
A140593,structure_missing
A140614,structure_missing
A141149,structure_missing
A141172,structure_missing
A141277,structure_missing
A141677,structure_missing
A141678,structure_missing
A141769,structure_missing
A141846,structure_missing
A141880,structure_missing
A141881,structure_missing
A141883,structure_missing
A141888,structure_missing
A141889,structure_missing
A141892,structure_missing
A141926,structure_missing
A141929,structure_missing
A141930,structure_missing
A141931,structure_missing
A141933,structure_missing
A141935,structure_missing
A141937,structure_missing
A141938,structure_missing
A141941,structure_missing
A141944,structure_missing
A141945,structure_missing
A141946,structure_missing
A141948,structure_missing
A141950,structure_missing
A141951,structure_missing
A141961,structure_missing
A141962,structure_missing
A141963,structure_missing
A141966,structure_missing
A141967,structure_missing
A141971,structure_missing
A141976,structure_missing
A141978,structure_missing
A142054,structure_missing
A142141,structure_missing
A142186,structure_missing
A142203,structure_missing
A142220,structure_missing
A142253,structure_missing
A142255,structure_missing
A142256,structure_missing
A142258,structure_missing
A142260,structure_missing
A142275,structure_missing
A142343,structure_missing
A142344,structure_missing
A142346,structure_missing
A142348,structure_missing
A142349,structure_missing
A142350,structure_missing
A142351,structure_missing
A142352,structure_missing
A142361,structure_missing
A142363,structure_missing
A142364,structure_missing
A142475,structure_missing
A142610,structure_missing
A142678,structure_missing
A142680,structure_missing
A142804,structure_missing
A142860,structure_missing
A142861,structure_missing
A142933,structure_missing
A142934,structure_missing
A142936,structure_missing
A142938,structure_missing
A142939,structure_missing
A142940,structure_missing
A142941,structure_missing
A142942,structure_missing
A142949,structure_missing
A142951,structure_missing
A143155,structure_missing
A143156,structure_missing
A143157,structure_missing
A143160,structure_missing
A143192,structure_missing
A143193,structure_missing
A143195,structure_missing
A143196,structure_missing
A143199,structure_missing
A143258,structure_missing
A143259,structure_missing
A143261,structure_missing
A143263,structure_missing
A143264,structure_missing
A143265,structure_missing
A143266,structure_missing
A143267,structure_missing
A143273,structure_missing
A143274,structure_missing
A143275,structure_missing
A143358,structure_missing
A143412,structure_missing
A143413,structure_missing
A143415,structure_missing
A143418,structure_missing
A143419,structure_missing
A143420,structure_missing
A143421,structure_missing
A143422,structure_missing
A143426,structure_missing
A143427,structure_missing
A143504,structure_missing
A143519,structure_missing
A143520,structure_missing
A143521,structure_missing
A143522,structure_missing
A143523,structure_missing
A143524,structure_missing
A143525,structure_missing
A143526,structure_missing
A143527,structure_missing
A143528,structure_missing
A143529,structure_missing
A143530,structure_missing
A143531,structure_missing
A143532,structure_missing
A143533,structure_missing
A143534,structure_missing
A143535,structure_missing
A143536,structure_missing
A143537,structure_missing
A143538,structure_missing
A143539,structure_missing
A143540,structure_missing
A143541,structure_missing
A143542,structure_missing
A143543,structure_missing
A143544,structure_missing
A143545,structure_missing
A143546,structure_missing
A143547,structure_missing
