id,grp_num
A139786,T00304
A139787,T00305
A139788,T00306
A139789,T00307
A139790,T00216
A139793,T00204
A139832,T00308
A139842,T00039
A139843,T00221
A139925,T00056
A139958,T00078
A139959,T00111
A139960,T00077
A140026,T00051
A140129,T00145
A140142,T00089
A140154,T00088
A140161,T00234
A140195,T00233
A140197,T00236
A140198,T00237
A140215,T00001
A140262,T00082
A140298,T00021
A140366,T00041
A140387,T00048
A140400,T00069
A140404,T00087
A140647,T00057
A140763,T00091
A141283,T00000
A141920,T00241
A142039,T00004
A142104,T00075
A142278,T00235
A142294,T00085
A142466,T00319
A142468,T00319
A142486,T00320
A142489,T00320
A142498,T00065
A142528,T00321
A142529,T00321
A142539,T00058
A142556,T00072
A142572,T00322
A142573,T00322
A142605,T00323
A142606,T00324
A142607,T00323
A142608,T00324
A142617,T00054
A142695,T00055
A142699,T00059
A142700,T00062
A142706,T00070
A142708,T00073
A142710,T00076
A142717,T00079
A142719,T00080
A142726,T00081
A143494,T00315
A143945,T00239
A144603,T00224
A144604,T00225
A144860,T00293
A144861,T00294
A144912,T00240
A145297,T00295
A145298,T00296
A146231,T00227
A146232,T00226
A149018,T00318
A149051,T00052
A990004,T00325
A990005,T00325
A990006,T00325
A990007,T00325
A990012,T00326
A990013,T00326
A990014,T00326
A990015,T00326
A990020,T00327
A990021,T00327
A990022,T00327
A990023,T00327
A990028,T00328
A990029,T00328
A990030,T00328
A990031,T00328
R00043,T00000
R00091,T00001
R00131,T00002
R00178,T00003
R00238,T00004
R00827,T00005
R00960,T00006
R01155,T00007
R01269,T00008
R01307,T00009
R01922,T00010
R02133,T00011
R02171,T00012
R02295,T00013
R02298,T00014
R02565,T00015
R02566,T00016
R02832,T00017
R03448,T00018
R03560,T00019
R03608,T00020
R03787,T00021
R04101,T00022
R04157,T00023
R04251,T00024
R05154,T00025
R05251,T00026
R05268,T00027
R05481,T00026
R05497,T00027
R05535,T00028
R06357,T00029
R06734,T00017
R06735,T00030
R06736,T00030
R07275,T00007
R07295,T00031
R07330,T00005
R07448,T00032
R07934,T00033
R07950,T00034
R08400,T00035
R08668,T00036
R08998,T00037
R08999,T00038
R09879,T00039
R10012,T00040
R10020,T00041
R10978,T00018
R11031,T00042
R11062,T00043
R11063,T00044
R11203,T00045
R11319,T00046
R11323,T00047
R11338,T00048
R11350,T00049
R11351,T00050
R11370,T00051
R11391,T00052
R11448,T00053
R11452,T00054
R11453,T00055
R11473,T00056
R11474,T00057
R11520,T00058
R11521,T00059
R11527,T00060
R11530,T00061
R11533,T00062
R11535,T00063
R11578,T00064
R11595,T00065
R11617,T00066
R11619,T00067
R11655,T00068
R11669,T00069
R11670,T00070
R11680,T00071
R11681,T00072
R11685,T00073
R11686,T00074
R11689,T00075
R11692,T00076
R11693,T00077
R11694,T00078
R11698,T00079
R11699,T00080
R11740,T00081
R11770,T00082
R11773,T00083
R11783,T00084
R11853,T00085
R11875,T00086
R11876,T00087
R11891,T00088
R11892,T00089
R11957,T00090
R11996,T00091
R12045,T00036
R12055,T00092
R12085,T00093
R12088,T00094
R12103,T00095
R12125,T00096
R12138,T00097
R12185,T00098
R12208,T00099
R12209,T00100
R12213,T00101
R12214,T00102
R12215,T00103
R12241,T00104
R12262,T00105
R12265,T00106
R12300,T00023
R12302,T00107
R12303,T00108
R12342,T00109
R12344,T00110
R12347,T00111
R12352,T00112
R12386,T00113
R12387,T00114
R12391,T00115
R12453,T00116
R12457,T00117
R12478,T00118
R12484,T00119
R12487,T00120
R12504,T00121
R12507,T00122
R12515,T00123
R12516,T00124
R12533,T00125
R12587,T00126
R12589,T00127
R12594,T00128
R12608,T00129
R12622,T00130
R12638,T00035
R12644,T00131
R12703,T00132
R12735,T00133
R12757,T00134
R12827,T00135
R12838,T00136
R12840,T00137
R12841,T00138
R12842,T00139
R12843,T00140
R12844,T00141
R12877,T00142
R12878,T00143
R12896,T00144
R12897,T00145
R12929,T00146
R12955,T00147
R12958,T00148
R12961,T00149
R12968,T00150
R12995,T00151
R13009,T00152
R13016,T00153
R13030,T00154
R13031,T00155
R13035,T00156
R13040,T00157
R13089,T00158
R13094,T00159
R13095,T00159
R13116,T00160
R13127,T00161
R13129,T00162
R13134,T00162
R13136,T00163
R13148,T00164
R13220,T00165
R13221,T00166
R13299,T00167
R13305,T00168
R13371,T00169
R13384,T00170
R13389,T00171
R13421,T00172
R99020,T00173
R99021,T00173
R99022,T00173
R99023,T00173
R99028,T00174
R99029,T00174
R99030,T00174
R99031,T00174
R99036,T00175
R99037,T00175
R99038,T00175
R99039,T00175
R99044,T00176
R99045,T00176
R99046,T00176
R99047,T00176
R99052,T00177
R99053,T00177
R99054,T00177
R99055,T00177
