id, reason
R12830, failed to balance
R12835, failed to balance
R12836, failed to balance
R12837, failed to balance
R12849, failed to balance
R12850, failed to balance
R12880, failed to balance
R12882, failed to balance
R12884, failed to balance
R12957, failed to balance
R13034, failed to balance
R13087, failed to balance
R13098, failed to balance
R13147, failed to balance
R13150, failed to balance
R13151, failed to balance
R13155, failed to balance
R13156, failed to balance
R13165, failed to balance
R13192, failed to balance
R13281, failed to balance
R13334, failed to balance
R13335, failed to balance
R13376, failed to balance
R13447, failed to balance
R13448, failed to balance
R13449, failed to balance
R13450, failed to balance
R13451, failed to balance
R13454, failed to balance
R13455, failed to balance
R13488, failed to balance
R13560, failed to balance
R13597, failed to balance
