Deoxyribonucleotides
C00360, dAMP
C00206, dADP
C00131, dATP
C00362, dGMP
C00361, dGDP
C00286, dGTP
C00365, dUMP
C01346, dUDP
C00460, dUTP
C00364, dTMP
C00363, dTDP
C00459, dTTP
C00239, dCMP
C00705, dCDP
C00458, dCTP
